Name,City,Country,Customer,Email,Fax,Is a Company,Mobile,Phone,Reference,State,Street,Street2,Supplier,Zip,Account Payable,Account Receivable
JACLYN CAKE,Bandung,Indonesia,TRUE,jaclyncake@gmail.com,4046614,TRUE,01404194,7101648,J-00001,,Sisingamangaraja,,TRUE,35546,2-110001,1-121001
KISEL,Bandung,Indonesia,TRUE,kisel@gmail.com,6602798,TRUE,08000388,3688838,K-00001,,Ahmad Yani,,TRUE,59046,2-110001,1-121001
LANCAR SEJATI UD,Bandung,Indonesia,TRUE,lancarsejatiud@gmail.com,3187543,TRUE,01610944,7924905,L-00001,,Sudirman,,TRUE,57084,2-110001,1-121001
"LUCKY, CV",Bandung,Indonesia,TRUE,luckycv@gmail.com,2276721,TRUE,06175119,6190665,L-00002,,Diponegoro,,TRUE,50056,2-110001,1-121001
"MAHMUD, H",Medan,Indonesia,TRUE,mahmudh@gmail.com,5500569,TRUE,08504355,5442249,M-00001,,Tendean,,TRUE,33841,2-110001,1-121001
MAKMUR SEJAHTERA. CV,Bandung,Indonesia,TRUE,makmursejahtera.cv@gmail.com,6720478,TRUE,03336194,6745508,M-00002,,Juanda,,TRUE,27616,2-110001,1-121001
MARLIA,Surabaya,Indonesia,FALSE,marlia@gmail.com,6317121,TRUE,02458365,7451882,M-00003,,Sisingamangaraja,,TRUE,53339,2-110001,1-121001
MILENIUM TOKO,Surabaya,Indonesia,FALSE,mileniumtoko@gmail.com,4608210,TRUE,05750275,6621377,M-00004,,Sudirman,,TRUE,26528,2-110001,1-121001
MITRADAYA DISTRIBUSINDO,Surabaya,Indonesia,FALSE,mitradayadistribusindo@gmail.com,5899473,TRUE,05282574,5387288,M-00005,,Juanda,,TRUE,24397,2-110001,1-121001
MUHAMAD ARDHIANTO,Surabaya,Indonesia,FALSE,muhamadardhianto@gmail.com,6140211,TRUE,09605602,3883060,M-00006,,Imam Bonjol,,TRUE,35686,2-110001,1-121001
MUSTIKA BATU GILANG,Surabaya,Indonesia,FALSE,mustikabatugilang@gmail.com,3592620,TRUE,05712363,6470808,M-00007,,Hasanudin,,TRUE,32051,2-110001,1-121001
NATALIA CV,Surabaya,Indonesia,FALSE,nataliacv@gmail.com,4946511,TRUE,07681678,2377649,N-00001,,Teuku Umar,,FALSE,59994,2-110001,1-121001
PRIMA MULTI MULYA CV,Jakarta,Indonesia,FALSE,primamultimulyacv@gmail.com,2769466,TRUE,09352811,4119116,P-00001,,Sisingamangaraja,,FALSE,22558,2-110001,1-121001
RATNA GENERAL SUPPLIER,Jakarta,Indonesia,FALSE,ratnageneralsupplier@gmail.com,6685214,TRUE,05844248,4619962,R-00001,,Ahmad Yani,,FALSE,30344,2-110001,1-121001
SELARAS BAN,Jakarta,Indonesia,FALSE,selarasban@gmail.com,7279806,TRUE,06495099,3213481,S-00001,,Sudirman,,FALSE,42258,2-110001,1-121001
SINAR HARAPAN,Jakarta,Indonesia,FALSE,sinarharapan@gmail.com,5177328,FALSE,08185759,7018875,S-00002,,Diponegoro,,FALSE,22020,2-110001,1-121001
SINAR MAROS,Jakarta,Indonesia,FALSE,sinarmaros@gmail.com,2082701,FALSE,05308242,3991223,S-00003,,Tendean,,FALSE,22100,2-110001,1-121001
SOMALI,Jakarta,Indonesia,FALSE,somali@gmail.com,2396159,FALSE,08340223,2116264,S-00004,,Juanda,,FALSE,33339,2-110001,1-121001
SUKSES ABADI,Jakarta,Indonesia,FALSE,suksesabadi@gmail.com,6602284,TRUE,09550041,5932104,S-00005,,Imam Bonjol,,FALSE,44098,2-110001,1-121001
TIMUR AUDIO,Jakarta,Indonesia,FALSE,timuraudio@gmail.com,6320536,TRUE,05538755,7661581,T-00001,,Hasanudin,,FALSE,52466,2-110001,1-121001
TOKO MURIA,Jakarta,Indonesia,FALSE,tokomuria@gmail.com,4788951,TRUE,08396918,6260526,T-00002,,Teuku Umar,,FALSE,52365,2-110001,1-121001
TOKO USAHA BARU,Jakarta,Indonesia,FALSE,tokousahabaru@gmail.com,3789998,TRUE,01573458,2047710,T-00003,,Sudirman,,FALSE,33750,2-110001,1-121001
